,objectid,cod_topo,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,x,y,lines,number_lines
0,1,VFCPO0,808205060,www.metro-porto.pt,Estádio do Dragão,"Linhas : A (azul),B (vermelha),E (violeta) e F (laranja)",03010400002,03,0104,00002,1245628800000,rafaeldias,-8.581977632087371,41.16077571199471,"['Linhas : A (azul)', 'B (vermelha)', 'E (violeta) e F (laranja)']",3
1,2,RAMAL1,808205060,www.metro-porto.pt,Trindade,"Linhas : A (azul),B (vermelha),C (verde),D (amarela),E (violeta) e F (laranja)",12010400001,12,0104,00001,1245628800000,rafaeldias,-8.609359350581954,41.152401848055824,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'D (amarela)', 'E (violeta) e F (laranja)']",5
2,3,AFRAN0,808205060,www.metro-porto.pt,Casa da Música,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",04010400001,04,0104,00001,1245628800000,rafaeldias,-8.628830260653459,41.16070788244651,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
3,4,APHMO0,808205060,www.metro-porto.pt,Hospital São joão,Linhas : D (amarela),10010400004,10,0104,00004,1245628800000,rafaeldias,-8.602291904336886,41.18323211486608,['Linhas : D (amarela)'],1
4,5,RDABA0,808205060,www.metro-porto.pt,IPO,Linhas : D (amarela),10010400005,10,0104,00005,1245628800000,rafaeldias,-8.604557894206565,41.181217191438634,['Linhas : D (amarela)'],1
5,6,RALES0,808205060,www.metro-porto.pt,Salgueiros,Linhas : D (amarela),10010400003,10,0104,00003,1245628800000,rafaeldias,-8.598758024416679,41.16955399319501,['Linhas : D (amarela)'],1
6,7,RALEG1,808205060,www.metro-porto.pt,Combatentes,Linhas : D (amarela),10010400001,10,0104,00001,1245628800000,rafaeldias,-8.598635562969802,41.16525232091847,['Linhas : D (amarela)'],1
7,8,PMARQ0,808205060,www.metro-porto.pt,Marquês,Linhas : D (amarela),12010400005,12,0104,00005,1245628800000,rafaeldias,-8.604454447199538,41.161124141199316,['Linhas : D (amarela)'],1
8,9,RCAMO0,808205060,www.metro-porto.pt,Faria Guimarães,Linhas : D (amarela),12010400004,12,0104,00004,1245628800000,rafaeldias,-8.609232514387573,41.15733585167543,['Linhas : D (amarela)'],1
9,10,AALIA0,808205060,www.metro-porto.pt,Aliados,Linhas : D (amarela),12010400003,12,0104,00003,1245628800000,rafaeldias,-8.610984168332696,41.14853985124126,['Linhas : D (amarela)'],1
10,11,PAGAR0,808205060,www.metro-porto.pt,S. Bento,Linhas : D (amarela),14010400001,14,0104,00001,1245628800000,rafaeldias,-8.610769310895773,41.144631516584276,['Linhas : D (amarela)'],1
11,12,RNVIT0,808205060,www.metro-porto.pt,Nau Vitória,Linhas : F (laranja),03010400003,03,0104,00003,1294617600000,rafaeldias,-8.573483249849389,41.174096987773325,['Linhas : F (laranja)'],1
12,13,RDJCO0,808205060,www.metro-porto.pt,Viso,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",11010400003,11,0104,00003,1245628800000,rafaeldias,-8.646540073971002,41.17723760885745,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
13,14,RDJCO0,808205060,www.metro-porto.pt,Ramalde,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",11010400002,11,0104,00002,1245628800000,rafaeldias,-8.641806961755055,41.17292861315784,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
14,15,RCCME0,808205060,www.metro-porto.pt,Contumil,Linhas : F (laranja),03010400004,03,0104,00004,1294617600000,rafaeldias,-8.578672989979212,41.1656970343763,['Linhas : F (laranja)'],1
15,16,RACAR3,808205060,www.metro-porto.pt,Nicolau Nasoni,Linhas : F (laranja),03010400005,03,0104,00005,1294617600000,rafaeldias,-8.577274871297185,41.17064696945269,['Linhas : F (laranja)'],1
16,17,RTRAV0,808205060,www.metro-porto.pt,Francos,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",11010400001,11,0104,00001,1245628800000,rafaeldias,-8.63640121197246,41.16550924092328,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
17,18,RIDMA0,808205060,www.metro-porto.pt,Carolina Michaëlis,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",04010400002,04,0104,00002,1245628800000,rafaeldias,-8.622266223555966,41.158608048960936,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
18,19,RMELO0,808205060,www.metro-porto.pt,Lapa,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",04010400003,04,0104,00003,1245628800000,rafaeldias,-8.616788058460616,41.15708876587632,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
19,20,RFTOM0,808205060,www.metro-porto.pt,Bolhão,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",12010400002,12,0104,00002,1245628800000,rafaeldias,-8.606469028134718,41.14992350935249,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
20,21,CVQAG0,808205060,www.metro-porto.pt,24 de Agosto,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",02010400001,02,0104,00001,1245628800000,rafaeldias,-8.598680391805532,41.148743717351415,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
21,22,RHERO0,808205060,www.metro-porto.pt,Heroísmo,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",02010400002,02,0104,00002,1245628800000,rafaeldias,-8.59301196898997,41.14652251951575,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
22,23,RJTEI0,808205060,www.metro-porto.pt,Campanhã,"Linhas : A (azul),B (vermelha),C (verde),E (violeta) e F (laranja)",03010400001,03,0104,00001,1245628800000,rafaeldias,-8.585702688368553,41.15037693689846,"['Linhas : A (azul)', 'B (vermelha)', 'C (verde)', 'E (violeta) e F (laranja)']",4
23,24,RDMPS0,808205060,www.metro-porto.pt,Polo Universitário,Linhas : D (amarela),10010400002,10,0104,00002,1245628800000,rafaeldias,-8.603637671636061,41.17469169780655,['Linhas : D (amarela)'],1
