,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
62,63,RACPO0,,222008757, ,Restaurante Abadia,Capacidade para 320 pessoas; Especialidades da Casa: Bacalhau na brasa;Tripas à abadia; Polvo grelhado; Javali com castanhas;,12080100001,12,0801,00001,1245628800000,rafaeldias,22,Aberto das 12:00 ás 23:00,-8.607818976999221,41.148023431206305
63,64,VBURA0,,222005004, ,Restaurante Alzira,Capacidade para 30 pessoas; Especialidades da Casa: Polvo assado no forno; Bacalhau assado no forno,13080100007,13,0801,00007,1245628800000,rafaeldias,3,Aberto das 12:00 ás 23:30 encerra à Segunda,-8.612432368343061,41.14073500753644
64,65,ABOAV0,,226172715, ,Restaurante Cufra,Capacidade para 250 pessoas; Especialidades da Casa: Feijoada de marisco; Bife à cufra,11080100002,11,0801,00002,1245628800000,rafaeldias,2504,Aberto das 12:00 ás 2:00 encerra á Segunda,-8.653003690771808,41.16204744574038
65,66,PDFLE0,,223398500, ,Restaurante D. Filipa,Capacidade para 100 pessoas; Especialidades da Casa: Cozinha portuguesa e internacional,15080100008,15,0801,00008,1245628800000,rafaeldias,62,Aberto das 12:30 ás 14:30 e das 19:30 ás 22:00,-8.613017687539214,41.14792682424301
66,67,RBONJ0,,222054139, ,Restaurante Milénio,Capacidade para 100 pessoas; Especialidades da Casa:Tripas à moda do Porto;  Bacalhau à Zé do pipo,12080100027,12,0801,00027,1245628800000,rafaeldias,532,Aberto  das 07:00 ás 20:00 encerra ao Domingo,-8.608501760194505,41.15103323684315
67,68,RBONJ0,,222000661, ,Restaurante Ginjal,Capacidade para 80 pessoas; Especialidades da Casa:Cabrito assado no forno; Bacalhau à moda de Braga; Polvo à lagareiro; Tripas à moda do Porto,12080100018,12,0801,00018,1245628800000,rafaeldias,726,Aberto  das 09:00 ás 16:00 e das 19:00 ás 23:00 encerra ao Domingo,-8.607955096447682,41.153327635216286
68,69,RCARM1,,223322611, ,Restaurante O Calhambeque,Capacidade para 50 pessoas; Especialidades da Casa: Pataniscas com arroz de feijão; Bacalhau à Zé do pipo; Arroz de tamboril; Filetes de polvo com arroz de grelos,15080100003,15,0801,00003,1245628800000,rafaeldias,19,Aberto  das 09:00 ás 22:00 encerra ao Domingo,-8.61714511013297,41.14715665251604
69,70,EMOLH0,,226173099, ,Restaurante Molhe,Capacidade para 140 pessoas; Especialidades da Casa: Bacalhau à molhe,09080100004,09,0801,00004,1245628800000,rafaeldias, ,Aberto das 9:00 ás 2:00,-8.684127519167877,41.15883375666443
70,71,RCRPE0,,226176659, ,Restaurante Varanda do Sol,Capacidade para 70 pessoas; Especialidades da Casa: Cozinha Italiana; Pizzaria; Pizzas,05080100009,05,0801,00009,1245628800000,rafaeldias,248,Aberto das 12:30 ás 15:30 e das 19:30 ás 23:30,-8.677603278786181,41.151756544370535
71,72,RAMIA0,,228325739, ,Restaurante China Town,Capacidade para 130 pessoas; Especialidades da Casa: Pato à Pequim; Gambas com alho,10080100002,10,0801,00002,1245628800000,rafaeldias,1006,Aberto das12:00 ás 15:00 e das 19:00 ás 23:00,-8.613573587543849,41.1817802222834
72,73,LDTFO0,,222053988, ,Restaurante Chinês King Long,Capacidade para 130 pessoas; Especialidades da Casa: Sopa tubarão; Pato lacado,12080100004,12,0801,00004,1245628800000,rafaeldias,115,Aberto das12:00 ás15:00 e das 19:30 ás 23:00,-8.608588245708201,41.15277463028087
73,74,PRIBE0,,222006418, ,Restaurante Downing Street,Capacidade para 200 pessoas; Especialidades da casa: Massa de bacalhau com grelos;Tamboril na Cataplana,13080100002,13,0801,00002,1245628800000,rafaeldias,10,Aberto por reserva até ás 23:00,-8.613376025976407,41.14086331330038
74,75,RCREA0,,226106142, ,Restaurante Casa Ribeiro III, ,05080100005,05,0801,00005,1245628800000,rafaeldias,5,Aberto das 08:00 ás 24:00 encerra ao Domingo,-8.674681879264215,41.15418533015781
75,76,RSBAN0,,222086707, ,Restaurante Pizza Hut,Especialidades da Casa: Pizzas,12080100011,12,0801,00011,1245628800000,rafaeldias,610, ,-8.606338502805112,41.15146860323732
76,77,LPRIO0,,222083228, ,Restaurante Pouca Pasta,Especialidades da Casa: Pizzas; Massas; Crepes; Gelados; Saladas,04080100012,04,0801,00012,1245628800000,rafaeldias,8, ,-8.621013330089689,41.156023369784066
77,78,RSLUZ1,,226189284, ,Restaurante O Tosco, ,05080100008,05,0801,00008,1245628800000,rafaeldias,258, ,-8.67672899295281,41.15133468205531
78,79,ABOAV0,,226101189, ,Restaurante da Fundação, ,01080100001,01,0801,00001,1245628800000,rafaeldias,4245, ,-8.673257551507733,41.16513282331602
79,80,BCARR1,,226151609, ,Restaurante Chocolatti, ,01080100002,01,0801,00002,1245628800000,rafaeldias, , ,-8.671794899106672,41.170460027764534
80,81,RPIED0,,226068136, ,Restaurante Francesinhas & Cª., ,07080100004,07,0801,00004,1245628800000,rafaeldias,33, ,-8.62868606303445,41.151659602069124
81,82,RCALE0,,226078380, ,Restaurante Capa Negra, ,07080100005,07,0801,00005,1245628800000,rafaeldias,191, ,-8.630417736572374,41.15247022698057
82,83,RAMSI0,,226095261, ,Restaurante Convívio, ,07080100006,07,0801,00006,1245628800000,rafaeldias,303, ,-8.630902407590051,41.15440346786242
83,84,TCONG0,,222002822, ,Restaurante Flor dos Congregados, ,12080100005,12,0801,00005,1245628800000,rafaeldias,11, ,-8.610268154049178,41.14694275627461
84,85,ABRAS0,,226176092, ,Restaurante A Máscara,Especialidades da Casa: Fondues,05080100004,05,0801,00004,1245628800000,rafaeldias,308, ,-8.680032693011151,41.15507864069027
85,86,RMADE0,,222054847, ,Restaurante O Rápido, ,12080100021,12,0801,00021,1245628800000,rafaeldias,194, ,-8.609770733129933,41.146006692776616
86,87,AVGAM0,,226174575, ,Restaurante Sultão, ,11080100007,11,0801,00007,1245628800000,rafaeldias,39, ,-8.656292264510704,41.17080478660956
87,88,RSPIN0,,228320101, ,Restaurante Pizzeria Bella Napoli, ,04080100008,04,0801,00008,1245628800000,rafaeldias,408, ,-8.620598670071187,41.16412161207704
88,89,RNSFA0,,226099648, ,Restaurante Romaria, ,04080100011,04,0801,00011,1245628800000,rafaeldias,495, ,-8.627669869006109,41.158481303427145
89,90,PCALB0,,222005748, ,Restaurante Bolsa, ,15080100001,15,0801,00001,1245628800000,rafaeldias,123, ,-8.615956778934173,41.14760202160306
90,91,RNATA0,,228318996, ,Restaurante Natário, ,10080100004,10,0801,00004,1245628800000,rafaeldias,99, ,-8.624017837134025,41.167435493256065
91,92,RMIRA1,,225368787, ,Restaurante Casa de Pasto, ,03080100003,03,0801,00003,1245628800000,rafaeldias,20, ,-8.587958192455837,41.147505898430325
92,93,RSCAT0,,225094713, ,Restaurante Pax,Capacidade para 100 pessoas; Especialidades da Casa: Bacalhau; Cozido à portuguesa; Vitela à mirandesa,12080100020,12,0801,00020,1245628800000,rafaeldias,1577,Aberto  das 9:00 ás 24:00 encerra ao Sábado,-8.604655879447606,41.16016996388468
93,94,RACPO0,,222004106, ,Restaurante Ateneu,Capacidade para 150 pessoas; Especialidades da Casa: Bacalhau à braga; Frango no churrasco; Rojões à portuense,12080100003,12,0801,00003,1245628800000,rafaeldias,8,Aberto das 07:00 ás 23:00 encerra ao Sábado,-8.607688391557076,41.14825245393284
94,95,RMGCA0,,225504912, ,Restaurante Casa do Criado,Capacidade para 102 pessoas; Especialidades da Casa: Feijoada de marisco,10080100007,10,0801,00007,1245628800000,rafaeldias,49,Aberto das 07:00 ás 24:00,-8.601385546074894,41.18418507034633
95,96,RALEG1,,225370605, ,Restaurante Caçarola,Capacidade para 70 pessoas; Especialidades da Casa: Bacalhau à Zé do Pipo; Bife Tártaro; Lampreia á Bordalesa; Tournedó Cordon Blue,02080100002,02,0801,00002,1245628800000,rafaeldias,366,Aberto das 07:30 ás 24:00 encerra ao Domingo,-8.603621427386647,41.15291229068831
96,97,RCALE0,,226084442, ,Restaurante Cervejaria Galiza,Capacidade para 195 pessoas; Especialidades da Casa: Francesinhas; Bacalhau à Galiza; Bife à Galiza,07080100002,07,0801,00002,1245628800000,rafaeldias,55,Aberto das 08:00 ás 01:45,-8.628239897083747,41.15235035067506
97,98,RGCRI0,,222087862, ,Restaurante O Indiano,Capacidade para 114 pessoas; Especialidades da Casa: Cozinha Indiana; Grelhador Tandoor,12080100009,12,0801,00009,1245628800000,rafaeldias,194,Aberto das 08:00 ás 02:00,-8.608603948572918,41.15368891782278
98,99,RCALD0,,222059510, ,Restaurante Cozinha dos Lóios,Capacidade para 40 pessoas; Especialidades da Casa:tripas à Moda do Porto; Tripas aos Molhos; Bacalhau à Brás,14080100002,14,0801,00002,1245628800000,rafaeldias,28,Aberto das 08:00 ás 22:00 encerra ao Domingo,-8.612427281580661,41.14490006534668
99,100,RALEG1,,225367623, ,Restaurante Marinho's,Capacidade para 50 pessoas; Especialidades da Casa: Tripas à moda do Porto; Rojões à minhota,02080100006,02,0801,00006,1245628800000,rafaeldias,695,Aberto das 08:00 ás 23:00 encerra ao Domingo,-8.602100404087228,41.15734423995935
100,101,RSNIC0,,223321130, ,Restaurante A Grade,Capacidade para 25 pessoas; Especialidades da Casa: Bacalhau na Brasa; Polvo assado no Forno; Sardinhas fritas com arroz de feijão;  Cabrito assado no forno,13080100012,13,0801,00012,1245628800000,rafaeldias,9,Aberto das 09:00 ás 24:00 encerra ao Domingo,-8.614996778735579,41.140522236987216
101,102,RNSCR0,,225102363, ,Restaurante O Bancário,Capacidade para 56 pessoas; Especialidades da Casa: Bacalhau à bancário; Açorda de marisco,02080100007,02,0801,00007,1245628800000,rafaeldias,256,Aberto das 08:00 ás 24:00 encerra ao Domingo,-8.595016579768153,41.16014218955515
102,103,RAMIA0,,228322612, ,Restaurante Alcaide,Capacidade para 60 pessoas; Especialidades da Casa: Tripas à moda do Porto; Rojões à moda do Minho,10080100001,10,0801,00001,1245628800000,rafaeldias,736,Aberto das 09:00 ás 15:00 e das 19:00 ás 22:00,-8.613870410657121,41.17932716378272
103,104,LSDOM0,,222052286, ,Restaurante Irmãos Linos,Capacidade para 90 pessoas,15080100004,15,0801,00004,1245628800000,rafaeldias,65,Aberto das 09:00 ás 22:00 encerra ao Domingo,-8.61483149666259,41.14333015228417
104,105,RPREL0,,228327128, ,Restaurante O Sítio do Costume,Capacidade para 39 pessoas; Especialidades da Casa: Arroz de pato à antiga; Tripas à moda do Porto,11080100006,11,0801,00006,1245628800000,rafaeldias,14,Aberto das 09:00 ás 24:00 encerra ao Domingo,-8.62727374260709,41.16680261547125
105,106,RIDHE0,,222004822, ,Restaurante Berlengas,Capacidade para 50 pessoas; Especialidades da Casa: Bacalhau na brasa com natas; Bife na brasa,13080100011,13,0801,00011,1245628800000,rafaeldias,129,Aberto das 10:00 ás 02:00,-8.615446622252254,41.14064626670474
106,107,PVIRT0,,222026720, ,Restaurante Xa Pau,Capacidade para 100 pessoas; Especialidades da Casa: Bacalhau à Kikas; Cozido à portuguesa; Grelhados,08080100002,08,0801,00002,1245628800000,rafaeldias,18,Aberto das 10:00 ás 14:00 e das 18:00 ás 24:00 encerra ao Domingo,-8.6182009337866,41.14406050235631
107,108,RPMAN0,,222001079, ,Restaurante O Escondidinho,Capacidade para 60 pessoas; Especialidades da Casa: Pescada à escondidinho,12080100008,12,0801,00008,1245628800000,rafaeldias,144,Aberto  das 12:00 ás 15:00 e das 19:00 ás 22:00 encerra ao Domingo,-8.606325663453468,41.146793903473124
108,109,RSFRA0,,222000712, ,Restaurante Cozzza Rio,Capacidade para 60 pessoas; Especialidades da Casa: Bacalhau à Zé do Pipo; Filetes de Linguado à Madeira; Lulas no Espeto; Tournedo Rossini,13080100001,13,0801,00001,1245628800000,rafaeldias,8,Aberto das 10:00 ás 02:00,-8.616579789150569,41.140938921812634
109,110,RPADR0,,226108059, ,Restaurante Caféina,Capacidade para 70 pessoas; Especialidades da Casa: Espetada de tamboril,09080100002,09,0801,00002,1245628800000,rafaeldias,100,Aberto das 10:00 ás 02:00,-8.679867457255893,41.15648675380033
110,111,RCONS0,,225092318, ,Restaurante Chez Albert,Capacidade para 38 pessoas; Especialidades da Casa: Coquille de Poisson; Baudrote aux poireaux,04080100002,04,0801,00002,1245628800000,rafaeldias,1365,Aberto das 10:00 ás 15:00 e das 19:00 ás 02:00 encerra ao Domingo,-8.614424152101153,41.1630234233621
111,112,RNATA0,,228303802, ,Restaurante Marigente,Capacidade para 120 pessoas; Especialidades da Casa: Bacalhau à lagareiro; Arroz de marisco,04080100010,04,0801,00010,1245628800000,rafaeldias,96,Aberto das 10:00 ás 15:00 e das 19:00 ás 22:00,-8.624056863168171,41.16716477802185
112,113,RFCAR2,,225320708, ,Restaurante Nova Era,Capacidade para 100 pessoas; Especialidades da Casa: Bacalhau à Nova Era; Filetes dourados,02080100010,02,0801,00010,1245628800000,rafaeldias,56,Aberto das 11:00 ás 24:00,-8.596499884362167,41.1470121009861
113,114,RSPIN0,,228319841, ,Restaurante Arnaldo,Capacidade para 42 pessoas; Especialidades da Casa: Bacalhau à moda da casa; Cozido à portuguesa,04080100001,04,0801,00001,1245628800000,rafaeldias,15,Aberto das 11:30 ás 15:00 e das 18:30 ás 22:00,-8.621366871249837,41.160667058387
114,115,RCONS0,,225027108, ,Restaurante Machado,Capacidade para 75 pessoas; Especialidades da Casa: Filetes de pescada; Filetes de polvo,04080100006,04,0801,00006,1245628800000,rafaeldias,1343,Aberto das 11:30 ás 15:30 e das 18:30 ás 22:00 encerra ao Domingo,-8.614170294667757,41.1629893154428
115,116,RMONT0,,226106993, ,Restaurante Eterno Bife,Capacidade para 50 pessoas; Especialidades da Casa:Eterno bife; Bacalhau à Rosa,05080100006,05,0801,00006,1245628800000,rafaeldias,115,Aberto das 12:00 ás 14:30 e das 19:00 ás 23:00 encerra ao Domingo,-8.667564974615772,41.15078545929422
116,117,RESTA0,,225370462, ,Restaurante Aleixo,Capacidade para 90 pessoas; Especialidades da Casa: Filetes de pescada; Filetes de polvo,03080100001,03,0801,00001,1245628800000,rafaeldias,216,Aberto das 12:00 ás 14:30 e das 19:30 ás 22:00 encerra ao Domingo,-8.587572205175505,41.147342957782634
117,118,RJDIN0,,226065286, ,Restaurante Alfarroba,Capacidade para 52 pessoas; Especialidades da Casa: Cozinha vegetariana,07080100001,07,0801,00001,1245628800000,rafaeldias,247,Aberto das 12:00 ás 14:30 e das 19:30 ás 22:00,-8.626498412543354,41.15106039826649
118,119,ECAST0,,226181589, ,Restaurante A Capoeira,Capacidade para 40 pessoas; Especialidades da Casa: Arroz de polvo com filetes do mesmo,05080100001,05,0801,00001,1245628800000,rafaeldias,63,Aberto das 12:00 ás 14:30 e das 20:00 ás 23:00 encerra ao Domingo,-8.674641451169924,41.14966682648701
119,120,RGAZE0,,222005755, ,Restaurante Além Mar,Capacidade para 60 pessoas; Especialidades da Casa: Salmão macerado; Gambas à Além-mar; Arroz de Tamboril; Folhado à algarvia,12080100025,12,0801,00025,1245628800000,rafaeldias,179,Aberto das 12:00 ás 15.00 e das 19:00 ás 22:00,-8.60721434205327,41.15229000336409
120,121,ABOAV0,,226098318, ,Restaurante Alto Astral,Capacidade para 73 pessoas; Música Brasileira ao vivo,06080100001,06,0801,00001,1245628800000,rafaeldias,1430,Aberto das 12:00 ás 15.00 e das 19:30 ás 24:00 encerra ao Domingo,-8.640484201877328,41.15996053873413
121,122,RAORN0,,225377886, ,Restaurante Gruta Azul,Capacidade para 70 pessoas; Especialidades da Casa: Bife e Bacalhau à Gruta Azul,02080100004,02,0801,00004,1245628800000,rafaeldias,47,Aberto das 12:00 ás 15:00 e das 18:30 ás 22:00 encerra ao Domingo,-8.595752078296648,41.15576795077273
122,123,RBONJ0,,222052404, ,Restaurante Antunes,Capacidade para 120 pessoas; Especialidades da Casa: Pernil assado no forno; Tripas à moda do porto; Cozido à portuguesa; rabanadas à antunes,12080100002,12,0801,00002,1245628800000,rafaeldias,525,Aberto das 12:00 ás 15:00 e das 19:00 ás 22:00 encerra ao Domingo,-8.60842009241719,41.15188545417135
123,124,ECIRC0,,225511231, ,Restaurante Lagosta da Mauritânea,Especialidades da Casa: Marisco; Peixe fresco,10080100006,10,0801,00006,1245628800000,rafaeldias,8006,Aberto das 12:00 ás 15:00 e das 19:00 ás 22:00,-8.604385505010567,41.18427141522847
124,125,RALEG1,,225370575, ,Restaurante Casa Nanda,Capacidade para 60 pessoas,02080100003,02,0801,00003,1245628800000,rafaeldias,394,Aberto das 10:00 ás15:30 e das 19:00 ás 22:00 encerra ao Domingo,-8.603507742603705,41.15320412828796
125,126,ADAGU0,,225189710, ,Restaurante A Cozinha da Maria Eugénia,Capacidade para 52 pessoas; Especialidades da Casa: Bife à casa; Naco na pedra,11080100001,11,0801,00001,1245628800000,rafaeldias,1150,Aberto das 12:00 ás 15:00 e das 19:00 ás 22:00,-8.65539432044168,41.17241232590879
126,127,RAQUE0,,225092021, ,Restaurante Rito,Capacidade para 48 pessoas; Especialidades da Casa: Espetada à Madeirense com bolo de caco,10080100005,10,0801,00005,1245628800000,rafaeldias,783,Aberto das 12:00 ás 15:00 e das 19:00 ás 23:00 encerra ao Domingo,-8.611195976059715,41.16511408403858
127,128,CRIBE0,,222000302, ,Restaurante A Marina,Capacidade para 60 pessoas; Especialidades da Casa: Lulas recheadas; Arroz de feijão com bolinhos de bacalhau; Polvo a lagareiro,13080100009,13,0801,00009,1245628800000,rafaeldias,29,Aberto das 12:00 ás 15:00 e das19:00 ás 22:00 excepto ao Domingo,-8.611617472525458,41.140653851823465
128,129,AFMAG0,,225369350, ,Restaurante Caetano,Capacidade para 150 pessoas; Especialidades da Casa: Vitela assada no forno; Bifes,03080100002,03,0801,00002,1245628800000,rafaeldias,1194,Aberto das 12:00 ás 15:30 e das 19:00 ás 22:00,-8.592454226559584,41.159974920412004
129,130,RCEDO0,,222003921, ,Restaurante Feito em Casa,Capacidade para 60 pessoas; Especialidades da Casa: Feijoada à brasileira; Picanha,04080100005,04,0801,00005,1245628800000,rafaeldias,688,Aberto das 12:00 ás15:00 e das 19:00 ás 02:00 encerra ao Domingo,-8.61927696137008,41.156133162714006
130,131,AFMAG0,,225366678, ,Restaurante Lagosteiro,Capacidade para 94 pessoas; Especialidades da Casa: Marisco; Peixe fresco,03080100004,03,0801,00004,1245628800000,rafaeldias,1180,Aberto das 12:00 ás 15:00 e das 19:00 ás 23:00 encerra ao Domingo,-8.592507381240136,41.15988944880418
131,132,RALEG0,,225092360, ,Restaurante Lima 5,Capacidade para 100 pessoas; Especialidades da Casa: Cabritinho assado no forno; Arroz de pato à antiga,02080100005,02,0801,00005,1245628800000,rafaeldias,25,Aberto das 12:00 ás 15:00 e das 19:00 ás 24:00 encerra ao Domingo,-8.600466811517572,41.161479907127934
132,133,ABOAV0,,226067491, ,Restaurante Confeitaria San Remo,Capacidade para 150 pessoas; Especialidades da Casa: Cozido à portuguesa; Bacalhau à moda de Braga,06080100002,06,0801,00002,1245628800000,rafaeldias,1120,Aberto das 8:00 ás 24:00 encerra ao Domingo,-8.636950017938483,41.159362289914895
